INFO 2026-02-08 09:53:33,815 autoreload Watching for file changes with StatReloader
INFO 2026-02-08 10:14:43,499 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,506 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,518 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,526 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,530 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,534 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:14:43,537 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,538 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,540 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,542 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,544 log "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,544 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,547 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,551 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,555 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,556 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,561 log "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,565 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,567 log "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,591 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:14:43,923 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:15:13,396 log "POST /admin/core/achievement/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:15:13,418 log "GET /admin/core/achievement/add/ HTTP/1.1" 200 15044
INFO 2026-02-08 10:15:13,473 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:15:13,535 log "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:15:36,464 log "GET /admin/core/galleryitem/ HTTP/1.1" 200 12577
INFO 2026-02-08 10:15:36,506 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-08 10:15:36,509 log "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:15:36,515 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:15:36,575 log "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-02-08 10:15:36,589 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:15:36,593 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:15:39,114 log "GET /admin/core/galleryitem/add/ HTTP/1.1" 200 15626
INFO 2026-02-08 10:15:39,160 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:16:28,824 log "GET /static/admin/img/calendar-icons.svg HTTP/1.1" 200 1320
INFO 2026-02-08 10:16:41,769 log "POST /admin/core/galleryitem/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:16:41,797 log "GET /admin/core/galleryitem/add/ HTTP/1.1" 200 15903
INFO 2026-02-08 10:16:41,862 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:17:30,463 log "POST /admin/core/galleryitem/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:17:30,492 log "GET /admin/core/galleryitem/add/ HTTP/1.1" 200 15903
INFO 2026-02-08 10:17:30,542 log "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,549 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,558 log "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,561 log "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,572 log "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,573 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,583 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,584 log "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,587 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-08 10:17:30,587 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,599 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,601 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,601 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,617 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,604 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,609 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,628 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,630 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,662 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,665 log "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,670 log "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,817 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:17:30,962 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2026-02-08 10:17:56,125 log "POST /admin/core/galleryitem/add/ HTTP/1.1" 302 0
INFO 2026-02-08 10:17:56,145 log "GET /admin/core/galleryitem/add/ HTTP/1.1" 200 15903
INFO 2026-02-08 10:17:56,193 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
